mission name	date	data
STS-51-A	11/10/1984	“Marine Corps Hymn” for the 209th birthday of the U.S. Marine Corps. Crew responded with John Philip Sousa’s “Stars and Stripes Forever”
STS-51-A	11/11/1984	Theme from film “Victory at Sea” Followed by crew playing “Who Will   Buy?” by Barbra Streisand
STS-51-A	11/12/1984	“The Eagle and the Hawk” by John Denver. Crew responds with “Entry of the Gladiators” by composer Julius Fucik
STS-51-A	11/13/1984	Aria from the opera “Carmen” followed by an excerpt from Tchaikovsky’s “1812 Overture”. Crew did not hear wakeup call. They play “Listen to the Music” for Houston Mission Control.
STS-51-A	11/14/1984	Theme from the movie, “For a Few Dollars More” followed by “Stars and Stripes Forever”
STS-51-A	11/15/1984	
STS-51-A	11/15/1984	Composite tape of one line from several songs put together by Kevin
STS-51-A	11/16/1984	"Theme from TV show “Peter Gunn”. Crew responded by singing an a cappella version of “Amazing Grace.”		       "
STS-51-D	04/13/1985	“Top of the World” by The Carpenters
STS-51-D	04/14/1985	“Stargazer” by Neil Diamond
STS-51-D	04/15/1985	“Skybird” by Neil Diamond
STS-51-D	04/16/1985	“Rescue Aid Society” from the Disney film, “The Rescuers”
STS-51-D	04/17/1985	“Ride of the Valkyries” by Richard Wagner (not on mission audio)
STS-51-D	04/18/1985	“Rocket Man (I Think It’s Going To Be a Long, Long Time)” by Elton John
STS-51-D	04/19/1985	“America” by Neil Diamond
STS-51-G	06/18/1985	“Eye in the Sky” by The Alan Parsons Project
STS-51-G	06/19/1985	“I Feel the Earth Move” by Carole King
STS-51-G	06/20/1985	“Oklahoma” sung by Richard Kiley. For Shannon Lucid who is from Bethany, Oklahoma.
STS-51-G	06/21/1985	“Proud Mary” by Creedence Clearwater Revival. For Dan Brandenstein.
STS-51-G	06/22/1985	“Sailing” by Christopher Cross. For Steve Nagel.
STS-51-G	06/23/1985	First Wakeup: Medley of unidentified Saudi Arabian music for Sultan Salman Abdulaziz Al-Saud who is from Riyadh, Saudi Arabia; and “Be” from the movie “Jonathan Livingston Seagull” sung by Neil Diamond.
STS-51-G	06/24/1985	Medley:
STS-51-I	08/28/1985	“Waltzing Matilda” awakened the crew as they passed over Australia.
STS-51-I	08/29/1985	“Over the Rainbow” from “The Wizard of Oz”by Judy Garland. When
STS-51-I	08/30/1985	“I Saw the Light” by Willie Nelson
STS-51-I	08/31/1985	“I Get Around” by Beach Boys
STS-51-I	09/02/1985	“Stormy Weather” by Willie Nelson. It was chosen due to the powerful Gulf Coast hurricane Elena observed from the Discovery.
STS-51-I	09/03/1985	“Living in the USA” by Linda Ronstadt
STS-61-B	11/26/1985	The Air Force Hymn for first Air Force space shuttle commander, Brewster H. Shaw, Jr.
STS-61-B	11/27/1985	Unidentified
STS-61-B	11/28/1985	Unidentified
STS-61-B	11/29/1985	“America the Beautiful”
STS-61-B	11/30/1985	Unidentified
STS-61-B	12/02/1985	“Notre Dame Fight Song” or “Notre Dame Victory March”, a joke played on Jerry Ross, a graduate of Purdue, one of Notre Dame’s rivals by Jim Wetherbee.
STS-61-B	12/03/1985	“Born in the U.S.A.” Bruce Springsteen
STS-61-C	01/12/1986	Opening theme from “Monty Python’s Flying Circus” TV show (“Liberty   Bell March” by John Philip Sousa).
STS-61-C	01/13/1986	Unidentified
STS-61-C	01/14/1986	“Heart of Gold” by Neil Young
STS-61-C	01/15/1986	Unidentified
STS-61-C	01/16/1986	Unidentified
STS-61-C	01/17/1986	Unidentified
STS-61-C	01/18/1986	“Stars and Stripes Forever”
STS-26	09/30/1988	Robin Williams opened with  “Gooooooood Morning Discovery!!!” in “Good Morning Vietnam” style. The original recording produced by Houston area DJ from KKBQ, Mike Cahill, also included original lyrics recorded to the theme music of the TV show “Green Acres”. Robin Williams was approached by Cahill about doing the tape. NASA knew nothing of the tape until it was offered as a gift by Cahill.
STS-26	10/01/1988	Parody of Beach Boys “I Get Around” with lyrics “We orbit ‘round” was provided by radio disc jockey Mike Cahill.
STS-26	10/02/1988	Harvey Mudd College (Claremont, CA)“Fight Song”, sung to tune of “Mickey Mouse   Club” by eight HMC students with intro by Robin Williams. Harvey Mudd is the alma mater of mission specialist Pinky Nelson. He commented afterwards: “There isn’t a dry eye in the house.”
STS-26	10/03/1988	“Fun, Fun, Fun...” Beach Boys parody with original lyrics.
STS-27	12/03/1988	Army “Fight Song” and Navy “Fight Song” because “Hoot” Gibson and Bill Shepherd were Navy grads and Mike Mullane graduated from West Point.
STS-27	12/04/1988	Theme from TV show “Rawhide” with satirical lyrics based on an inside joke between the Atlantis crew and CAPCOM members of the astronaut class of 1984.
STS-27	12/05/1988	Using “Star Wars” theme music as background, Darth Vader’s voice awoke the crew with a message followed by satirical lyrics sung to The Beatles tune, “Do You Want to Know a Secret?” The recording was produced by  Houston radio station KKBQ’s Mike Cahill, Pat Brennan, and Mark Richardson.
STS-29	03/14/1989	“I Got You (I Feel Good)” James Brown
STS-29	03/15/1989	Brass band rendition of the “Marine Corps Hymn” - tribute to mission  specialists Bob Springer and Jim Buchli. “We got two Marines standing at     attention up here,” said Captain Coats. 
STS-29	03/16/1989	Discovery crew woke Mission Control with theme from “Star Trek” followed by congratulatory comments from William Shatner.  Mission Control responded with a   medley of school songs from crew members’ alma maters: “Anchors Aweigh”, The Air Force Song  (“Off We Go Into the Wild Blue Yonder”), and Drexel University “Fight Song”
STS-29	03/17/1989	Discovery crew woke up Mission Control with “Heigh-Ho, Heigh-Ho, It’s Off To Work We Go” from movie “Snow White.” Mission Control replied with “Stars and Stripes Forever”.
STS-29	03/18/1989	Mission Control sent recordings of astronauts’ children shouting such things as
STS-30	05/05/1989	Theme music from the film, “Superman”
STS-30	05/06/1989	Crew members awakened with medley from their respective alma maters: “Anchors Aweigh”, played for STS-30 commander Dave Walker – Navy “The Wild Blue Yonder” for pilot Ron Grabe and Mark Lee - Air Force Colorado State University fight song for Mission Specialist Mary Cleave; and Florida State University fight song for Mission Specialist Norm Thagard
STS-30	05/07/1989	“Gonna Fly Now (Theme From ‘Rocky’)” by Bill Conti
STS-30	05/08/1989	“A Hard Day’s Night” The Beatles 
STS-34	10/19/1989	Medley: 1. “Hail Purdue”, 2. “Reveille”, 3. “Anchors Aweigh” as tribute to commander Don Williams and pilot Mike McCulley who were both Purdue and Naval Academy graduates.
STS-34	10/20/1989	University fight songs medley sent as a tribute to the Mission Specialists and their undergraduate schools: 1. University of Oklahoma for Shannon Lucid, 2. University of  Connecticut for Franklin Chang-Diaz, 3. State University of New York at Buffalo for Ellen Baker.
STS-34	10/21/1989	“Bohemian Rhapsody” by Queen. Words “Galileo, Galileo” referring to primary payload “Galileo” were substituted for original words “Mama Mia, Mama Mia” by voice of Don McMonagle.
STS-34	10/22/1989	“Centerfield” John Fogerty for sports fans onboard.
STS-34	10/23/1989	“Fly Like An Eagle” Steve Miller Band
STS-32	01/09/1990	“What’s More American?” -  Words and music by Kadish Millet. Sung by Bing Crosby
STS-32	01/10/1990	Parody kidding G. David Low based on tune of “The Banana Boat Song” originally sung by    Harry Belafonte.
STS-32	01/11/1990	Parody set to the tune of “Let It Snow” - with a message to the crew in the lyrics of “Bring her home” meaning the Long Duration Exposure Facility (LDEF). It was a reminder that Columbia originally was to have been in  orbit at Christmastime and that the astronauts had promised to bring the satellite back as a holiday gift to all those with experiments on board.
STS-32	01/12/1990	Parody “Hello LDEF”, sung to the tune of “Hello Dolly” intended as a tribute to the cargo which was retrieved on 1/12/90. Written and sung by James C. Martin and his friend Terry Radomski. (Martin is the son of Mrs. F. C. Martin, secretary to LDEF Chief Scientist Bill Kinard)
STS-32	01/13/1990	The astronauts took time out for a little fun Saturday afternoon,
STS-32	01/13/1990	"“Notre Dame Victory March” for pilot Jim Wetherbee, graduate of Notre  Dame. Sung by quartet of JSC Mission Operations Directorate personnel, all Notre Dame graduates (Lead: Mark Ferring, class of ’80. Tenor: Chris McKenna, class of ’84. Baritone: Pete Hasbrook, class of ’85. Bass: Fisher Reynolds, class of ’82) ""That was provided by local alumni of a school you know pretty well,” said Mission Control's Ken Bowersox."
STS-32	01/14/1990	“Bow Down to Washington”, University of Washington’s fight song for Mission Specialist Bonnie Dunbar. (from tape with a bunch of fight songs performed by USC band)
STS-32	01/15/1990	“Glory, Glory, Colorado”, the University of Colorado fight song, in honor of Mission Specialist Marsha Ivins.
STS-32	01/16/1990	"Three-part wakeup call in honor of Shuttle Commander Dan Brandenstein’s 47th birthday including: a trombone and piano ensemble playing “Danny Boy” performed by   Martin and Radomski; Boston Celtics basketball forward Larry Bird offering congratulations to the crew and birthday wishes to Brandenstein; and Astronaut Office  personnel singing “Happy Birthday”. ""Hi Dan. This is Larry Bird. Congratulations to you and the crew on the slam dunk with LDEF,"" referring to its rescue last week. He ended with, ""Happy birthday and have a safe landing."" Astronaut Kenneth Bowersox in mission control then said: ""Good morning, Columbia, and a happy birthday to Danny boy."""
STS-32	01/17/1990	“Washington and Lee” the fight song of Washington and Lee University for David Low.
STS-32	01/18/1990	"“Born to Be Wild” Steppenwolf. ""We're ready to rock and roll!"" Wetherbee radioed referring to the return to Earth."
STS-32	01/19/1990	“Anchor’s Aweigh” for Lt. Commander U.S. Navy Wetherbee; and University of Wisconsin-River Falls’ fight song performed by the school’s pep band in honor of graduate Brandenstein.
STS-31	04/25/1990	“Crew members began their day at 2:43 a.m. when Capcom Kathy Thornton woke the crew with ‘Space is Our World,’ an original song written by the Houston band ‘Private Numbers’ with the help of the STS-31 flight training team.”
STS-31	04/26/1990	“Shout” by Otis Day and the Knights from the soundtrack of the movie “Animal House”
STS-31	04/27/1990	"""Kokomo"" by Beach Boys"
STS-31	04/28/1990	"""Cosmos"" by Frank Hays on album ""Don't Ask"" in honor of Hubble Telescope"
STS-31	04/29/1990	"""Rise and Shine"" by Raffi with Ken Whiteley"
STS-41	10/07/1990	“Rise and Shine, Discovery!” written and performed by Boeing Aerospace & Electronics Co. Employees as a tribute to the successful deployment of the Ulysses probe,  using a Boeing built booster. Sung by the Boeing Employees Choir. Michael Kysar, Boeing Choir Director, and Gloria Ball, choir member, collaborated on words and music. It includes the refrain:
STS-41	10/08/1990	The Coast Guard Hymn “Semper Paratus” (Always Ready) by The Coast Guard Band in honor of Bruce Melnick, the first Coast Guard member to fly in space.
STS-41	10/09/1990	“Fanfare for the Common Man” written by Aaron Copland, one of copilot Robert Cabana’s favorites, followed by:
STS-41	10/10/1990	“The Highwayman” by The Highwaymen (Kris Kristofferson, Willie Nelson, Waylon Jennings, and Johnny Cash). For Thomas Akers, a fan of country music.
STS-37	04/06/1991	Music by Marching Illini Band from the University of Illinois.  Band members had a special message for one of their alumni STS-37 commander Steve Nagel.  An Illinois native, Nagel graduated from the University of Illinois in 1969.
STS-37	04/07/1991	“The Marine Corp Hymn” performed by the U. S. Naval Academy band.  The music was in honor of STS 37 pilot Ken Cameron who is a lieutenant colonel in the U.S.M.C.
STS-37	04/08/1991	“Hail Purdue” by Purdue University Band for alumni Jerry Ross.
STS-37	04/09/1991	“10,000 Men of Harvard Want Victory Today” sung by Harvard Glee Club, in honor of Jay Apt, a Harvard graduate. About five minutes after the wake up call, Apt played a recorded Scottish tune from Atlantis in honor of the highest and fastest Highlanders, Ross and  Cameron.
STS-37	04/10/1991	“La Bamba” by the Brass Rhythm and Reeds for Linda Godwin who played saxophone in the band.  Flight director Milt Heflin played Trombone in the same band.
STS-37	04/11/1991	"“Magnum PI” Theme with a greeting by Tom Selleck for Mission Specialist Linda Godwin. She is a big Selleck fan. ""Good morning, and a special wakeup to Linda,"" the message said. ""This is Tom Selleck and I hope you had a nice night's sleep, but it's time to get up and go to work."""
STS-40	06/06/1991	“Great Balls of Fire” Jerry Lee Lewis
STS-40	06/07/1991	A “Military Medally” Marine Corps and Air Force music for O’Connor, a Colonel in USMC and Gutierrez, a Lt. Colonel in the Air Force.
STS-40	06/08/1991	“Yakety Yak” by The Coasters
STS-40	06/09/1991	Greetings from crew’s children followed by “Somewhere Out There” from movie “An American Tail”
STS-40	06/10/1991	“Cow Patty”, a humorous western ballad that is a favorite of mission specialist Tammy Jernigan.
STS-40	06/11/1991	“Shout - The Faber College Theme” by Otis Day and the Knights from the movie “Animal House”
STS-40	06/12/1991	“Twistin’ the Night Away” by Sam Cooke, from the movie, “Animal House”
STS-40	06/13/1991	“Chain Gang” by Nylons.  
STS-40	06/14/1991	“What a Wonderful World” by Louis Armstrong.
STS-43	08/03/1991	“Back in the High Life” by Steve Winwood
STS-43	08/04/1991	Excerpt from “Dances With Wolves” soundtrack for James Adamson who is from Montana
STS-43	08/05/1991	Custom music medley sung by friends of the STS-43 crew from Rockwell-Downey, in California.
STS-43	08/06/1991	Music of the Clear Lake High School Orchestra playing selections from “Phantom of the Opera.” Commander John Blaha’s daughter, Caroline, plays in the orchestra.
STS-43	08/07/1991	“What a Wonderful World” by Louis Armstrong
STS-43	08/08/1991	“Cowboy in the Continental Suit” by Chris LeDoux for country and western fan James Adamson
STS-43	08/09/1991	Washington and Lee University fight song for graduate G. David Low
STS-43	08/10/1991	Sounds from Shannon Lucid’s backyard (frogs, crickets, etc.)
STS-48	09/13/1991	“Hound Dog” by Elvis Presley
STS-48	09/14/1991	“Release Me” by Elvis Presley. In anticipation of deployment of Upper Atmosphere Research Satellite (UARS).
STS-48	09/15/1991	“Bare Necessities” from film “Jungle Book”.  Played for Ken Reightler’s daughters who were in Mission Control Center viewing room.
STS-48	09/16/1991	“Are You Lonesome Tonight?” by Elvis Presley.  Chosen for its line “Are you sorry we drifted apart?” referring to Discovery’s separation from its payload (UARS)
STS-48	09/17/1991	“Return to Sender” by Elvis Presley. In honor of expected landing.
STS-44	11/25/1991	"""Space - the final frontier. "
STS-44	11/26/1991	Reveille (bugle call) followed by gunfire preceding “This is the Army, Mr. Jones” by Irving Berlin from the movie, “This is the Army.”
STS-44	11/27/1991	“It’s Time to Love (Put a Little Love in Your Heart)” by James Brown 
STS-44	11/28/1991	Recorded turkey gobbles followed by “Cheeseburger in Paradise” Jimmy Buffett
STS-44	11/29/1991	“Twist and Shout” from the movie “Ferris Bueller’s Day Off”
STS-44	11/30/1991	University of Alabama and Auburn University fight songs.  For football game that day between the schools and Auburn graduates Jim Voss and Jan Davis. Voss was on Atlantis for his first spaceflight, Davis was the Capcom. PC
STS-44	12/01/1991	“In the Mood”
STS-49	05/08/1992	“God Bless the U.S.A.” by Lee Greenwood.
STS-49	05/09/1992	“Rescue Me’ by Fontella Bass.
STS-49	05/10/1992	"Theme song from the Disney animated feature ""Winnie the Pooh"" with taped messages from Kathy Thornton’s children for Mother’s Day."
STS-49	05/11/1992	“Gonna Fly Now (Theme From ‘Rocky’)” by Bill Conti
STS-49	05/12/1992	“Kokomo” by The Beach Boys.
STS-49	05/13/1992	No wakeup call.
STS-49	05/14/1992	“I Wake Up Every Morning With a Smile on My Face” by Boxcar Willie.
STS-49	05/15/1992	“Son of a Son of a Sailor” by Jimmy Buffett
STS-52	10/23/1992	“Wake Up Columbia” an original composition by Crow Carroll
STS-52	10/24/1992	“Shake, Rattle, and Roll” by Big Joe Turner, in honor of  deployment of Laser Geodynamics Satellite-II which will help measure the shake, rattle, and roll of the Earth’s crust
STS-52	10/25/1992	Unidentified
STS-52	10/26/1992	"“The World is Waiting for the Sunrise” written by Gene Lockhart and performed by Les Paul and Mary Ford.  ""His daughter June -- who needs no introduction, I'm sure -- is in the (Mission Control) viewing room this morning and sends her best wishes,"" Mission Control said. ""Well, great. Thanks a lot. We'll have to see if we can learn that song"" shuttle commander James Wetherbee replied. June Lockhart was one of the stars of the TV show, “Lost in Space.”"
STS-52	10/27/1992	“Birthday” by The Beatles in honor of Pilot Mike Baker’s 39th birthday
STS-52	10/28/1992	"Hawaiian music set the tone for today's planned discussion between the STS-52 crew, students at the University of Hawaii and the Polynesian sailing canoe ""Hokulea"" located somewhere in the South Pacific."
STS-52	10/29/1992	“Mack the Knife” Bobby Darin
STS-52	10/30/1992	“Bang the Drum” Todd Rundgren, in honor of Max-Q drummer and Mission Commander  Jim Wetherbee.
STS-52	10/31/1992	“Monster Mash” Bobby “Boris” Pickett. In honor of Halloween Mission Control included a pattern  for a cutout mask in flight plans radioed to the shuttle. The mask was of  Moe of the Three Stooges.
STS-52	11/01/1992	“Notre Dame Victory March” sung by JSC employees and Notre Dame grads, Chris McKenna, Mark Ferring, Pete Hasbrook, and Fisher Reynolds.  Notre Dame is also the alma mater of  Wetherbee.
STS-53	12/03/1992	"“Jingle Bells” by the Singing Dogs. The astronauts, who nicknamed themselves ""the dogs of war"" because their flight supposedly is the last shuttle mission devoted to Defense Department work, were roused by a canine rendition of ""Jingle Bells."""
STS-53	12/04/1992	“I Want to Be a Dog”, a children’s song by Nancy Cassidy
STS-53	12/05/1992	Bagpipe medley by Houston Highlanders Pipe Band. (Medley: Bonnie Dundee, Gary Green, and The Eyes of Texas).
STS-53	12/06/1992	The Air Force Song  (“Off We Go Into the Wild Blue Yonder”)
STS-53	12/07/1992	“Anchor’s Aweigh” played for crew members Dave Walker and Bob Cabana
STS-53	12/08/1992	“Caissons Go Rolling Along” by Bob Sharples and His Military Band in honor of Army Lieutenant Colonels Jim Voss and Rich Clifford.
STS-53	12/09/1992	“From the Halls of Montezuma”.
STS-54	01/14/1993	The Air Force Song  (“Off We Go Into the Wild Blue Yonder”)
STS-54	01/15/1993	“Hail Purdue” by Purdue Band and Glee Club. For Greg Harbaugh, a Purdue alumnus.
STS-54	01/16/1993	No wakeup call sent.
STS-54	01/17/1993	“Centerfield” by John Fogerty.
STS-54	01/18/1993	“Stardust” by Willie Nelson
STS-54	01/19/1993	“Ain’t Misbehavin” by Eddie Higgins and Rebecca Parris
STS-57	06/22/1993	“Sitting on Top of the World” by Les Paul and Mary Ford
STS-57	06/23/1993	“The Smurfs” in honor of Mission Specialist Nancy Sherlock, nicknamed “Smurf”.
STS-57	06/24/1993	“Rendezvous” by The Hudson Brothers
STS-57	06/25/1993	“The Walk of Life” by Dire Straits in honor of upcoming space walk
STS-57	06/26/1993	“Holiday” by Madonna …”to suggest the crew take some time to celebrate the success of their mission.”
STS-57	06/27/1993	“I Got You (I Feel Good)” by James Brown, “…a favorite tune of Payload Commander David Low. 
STS-57	06/28/1993	“Catch a Falling Star” by Perry Como.
STS-57	06/29/1993	No wakeup call sent.
STS-57	06/30/1993	No wakeup call sent.
STS-57	07/01/1993	“I’ll Be Home For Christmas”
STS-51	09/13/1993	“Please Release Me” by Elvis Presley.  In preparation for deployment of  ORFEUS-SPAS payload. The singer was actually well known Elvis 
STS-51	09/14/1993	“Changes in Attitudes, Changes in Latitudes” by Jimmy Buffett
STS-51	09/15/1993	“Don’t Let the Stars Get in Your Eyes” by Perry Como
STS-51	09/16/1993	“Walk, Don’t Run”
STS-51	09/17/1993	"Videotape views of Earth with “Theme for the Common Man” by crew beat Mission Control’s wakeup call by five minutes. ""We didn't mean to preempt your music, just precede it,"" Discovery commander Frank Culbertson Jr. told Mission Control's Susan Helms. Of course the videotape views of the Earth are just on the flight day highlights. On the shuttle they just hear the music. PC"
STS-51	09/18/1993	"Crew played “A Whole New World” for Mission Control followed by “Star Wars Theme” sent to Discovery.			"
STS-51	09/19/1993	“Rendezvous” by Hudson Brothers
STS-51	09/20/1993	“Heartbreak Hotel” by astronaut band Max-Q.  Carl Walz, nicknamed Elvis, is lead singer in the band.
STS-51	09/21/1993	“Surfin’ Safari” by The Beach Boys
STS-51	09/22/1993	No wakeup call sent
STS-58	10/19/1993	No music, just greeting, “Good morning, how are you?” from Linda Ham, Flight Director.     
STS-58	10/20/1993	“Theme From the Movie 2001, a Space Odyssey”
STS-58	10/21/1993	No wakeup call sent.
